Year,Month,Day of Week,Day of Month,Season,Day of Season,Sign,Day of Sign,Name of Holiday
2023,January,Sunday,1,Midwinter,12,Capricorn,12,New Year's Day
2023,January,Monday,2,Midwinter,13,Capricorn,13,
2023,January,Tuesday,3,Midwinter,14,Capricorn,14,
2023,January,Wednesday,4,Midwinter,15,Capricorn,15,
2023,January,Thursday,5,Midwinter,16,Capricorn,16,
2023,January,Friday,6,Midwinter,17,Capricorn,17,Epiphany
2023,January,Saturday,7,Midwinter,18,Capricorn,18,
2023,January,Sunday,8,Midwinter,19,Capricorn,19,
2023,January,Monday,9,Midwinter,20,Capricorn,20,
2023,January,Tuesday,10,Midwinter,21,Capricorn,21,
2023,January,Wednesday,11,Midwinter,22,Capricorn,22,
2023,January,Thursday,12,Midwinter,23,Capricorn,23,
2023,January,Friday,13,Midwinter,24,Capricorn,24,
2023,January,Saturday,14,Midwinter,25,Capricorn,25,
2023,January,Sunday,15,Midwinter,26,Capricorn,26,
2023,January,Monday,16,Midwinter,27,Capricorn,27,"Martin Luther King, Jr. Day"
2023,January,Tuesday,17,Midwinter,28,Capricorn,28,
2023,January,Wednesday,18,Midwinter,29,Capricorn,29,
2023,January,Thursday,19,Midwinter,30,Capricorn,30,
2023,January,Friday,20,Midwinter,31,Capricorn,31,
2023,January,Saturday,21,Midwinter,32,Aquarius,1,
2023,January,Sunday,22,Midwinter,33,Aquarius,2,
2023,January,Monday,23,Midwinter,34,Aquarius,3,
2023,January,Tuesday,24,Midwinter,35,Aquarius,4,
2023,January,Wednesday,25,Midwinter,36,Aquarius,5,
2023,January,Thursday,26,Midwinter,37,Aquarius,6,
2023,January,Friday,27,Midwinter,38,Aquarius,7,
2023,January,Saturday,28,Midwinter,39,Aquarius,8,
2023,January,Sunday,29,Midwinter,40,Aquarius,9,
2023,January,Monday,30,Midwinter,41,Aquarius,10,
2023,January,Tuesday,31,Midwinter,42,Aquarius,11,
2023,February,Wednesday,1,Old Winter,1,Aquarius,12,Imbolc
2023,February,Thursday,2,Old Winter,2,Aquarius,13,Candlemas
2023,February,Friday,3,Old Winter,3,Aquarius,14,
2023,February,Saturday,4,Old Winter,4,Aquarius,15,
2023,February,Sunday,5,Old Winter,5,Aquarius,16,
2023,February,Monday,6,Old Winter,6,Aquarius,17,
2023,February,Tuesday,7,Old Winter,7,Aquarius,18,
2023,February,Wednesday,8,Old Winter,8,Aquarius,19,
2023,February,Thursday,9,Old Winter,9,Aquarius,20,
2023,February,Friday,10,Old Winter,10,Aquarius,21,
2023,February,Saturday,11,Old Winter,11,Aquarius,22,
2023,February,Sunday,12,Old Winter,12,Aquarius,23,
2023,February,Monday,13,Old Winter,13,Aquarius,24,
2023,February,Tuesday,14,Old Winter,14,Aquarius,25,Valentine's Day
2023,February,Wednesday,15,Old Winter,15,Aquarius,26,
2023,February,Thursday,16,Old Winter,16,Aquarius,27,
2023,February,Friday,17,Old Winter,17,Aquarius,28,
2023,February,Saturday,18,Old Winter,18,Aquarius,29,
2023,February,Sunday,19,Old Winter,19,Aquarius,30,
2023,February,Monday,20,Old Winter,20,Pisces,1,Presidents Day
2023,February,Tuesday,21,Old Winter,21,Pisces,2,
2023,February,Wednesday,22,Old Winter,22,Pisces,3,
2023,February,Thursday,23,Old Winter,23,Pisces,4,
2023,February,Friday,24,Old Winter,24,Pisces,5,
2023,February,Saturday,25,Old Winter,25,Pisces,6,
2023,February,Sunday,26,Old Winter,26,Pisces,7,
2023,February,Monday,27,Old Winter,27,Pisces,8,
2023,February,Tuesday,28,Old Winter,28,Pisces,9,
